rank,title,year,duration,AgeGroup,rating,votes
109,Nascido para Matar,1987,1h 56m,16,8.2,816
110,Um Corpo que Cai,1958,2h 8m,14,8.3,442
111,O Fabuloso Destino de Amélie Poulain,2001,2h 2m,14,8.3,814
112,Laranja Mecânica,1971,2h 16m,(Banned),8.2,906
113,A Separação,2011,2h 3m,12,8.3,268
114,O Sol é para Todos,1962,2h 9m,12,8.3,342
115,Oppenheimer,2023,3h,16,8.3,862
116,Duro de Matar,1988,2h 12m,14,8.2,984
117,Golpe de Mestre,1973,2h 9m,18,8.3,288
118,Como Estrelas na Terra,2007,2h 42m,Livre,8.3,216
119,Indiana Jones e a Última Cruzada,1989,2h 7m,Livre,8.2,834
120,Metrópolis,1927,2h 33m,Livre,8.3,193
121,Snatch - Porcos e Diamantes,2000,1h 44m,16,8.2,939
122,1917,2019,1h 59m,14,8.2,719
123,Los Angeles: Cidade Proibida,1997,2h 18m,18,8.2,637
124,Ladrões de Bicicletas,1948,1h 29m,10,8.2,184
125,A Queda! As Últimas Horas de Hitler,2004,2h 36m,16,8.2,386
126,Dangal,2016,2h 41m,10,8.3,223
127,Taxi Driver: Motorista de Táxi,1976,1h 54m,14,8.2,969
128,Hamilton,2020,2h 40m,12,8.3,126
129,O Lobo de Wall Street,2013,3h,18,8.2,1
130,Batman Begins,2005,2h 20m,10,8.2,1
131,Green Book: O Guia,2018,2h 10m,12,8.2,625
132,Por uns Dólares a Mais,1965,2h 12m,12,8.2,286
133,Quanto Mais Quente Melhor,1959,2h 1m,Livre,8.2,293
134,O Show de Truman: O Show da Vida,1998,1h 43m,12,8.2,1
135,Julgamento em Nuremberg,1961,2h 59m,Approved,8.3,90
136,O Garoto,1921,1h 8m,Livre,8.2,140
137,Ilha do Medo,2010,2h 18m,16,8.2,1
138,Ainda Estou Aqui,2024,2h 17m,14,8.6,87
139,Meu Pai,2020,1h 37m,12,8.2,210
140,A Malvada,1950,2h 18m,Livre,8.2,143
141,Sangue Negro,2007,2h 38m,14,8.2,665
142,Jurassic Park: O Parque dos Dinossauros,1993,2h 7m,Livre,8.2,1
143,Cassino,1995,2h 58m,18,8.2,587
